"Data Source","World Development Indicators",

"Last Updated Date","2026-04-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Belarus","BLR","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84.8541030883789","","","","","","","96.8443697907492","97.1415486552086","97.4142697820584","94.7378082275391","97.6255870924055","97.5256860683346","97.8953833172194","97.890668183791","","",
"Belize","BLZ","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.8250007629394","","","","","36.827018737793","","","37.9717471104897","38.4909257348598","32.5941200256348","39.9577467978532","39.1543990807057","","","43.2856292724609","","42.886848449707","","","",
"Bermuda","BMU","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","85.6993789672852","","","","","","","","","","77.0159683227539","","","","","","87.4534378051758","","","","","","","","","",
"Bolivia","BOL","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","","","","12.0882596969604","","","","","","","","","","","","","","","","28.0149402618408","","","","","","","","29.7","38.0085716247559","25.7","","26","31","33.4957504272461","36.6","36.0851097106934","38.4426002502441","","40.5","43.1408309936523","46.4","40.9","51.2609596252441","43.1","44.7","45.2","60.1514701843262","59.2210693359375","49.7","50.7064027760573","53.8120613098145","53.1322212219238","",
"Brazil","BRA","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","5.68445014953613","","","","","","","","","","","","","","","","","","","","","","21.0858190844278","","","19.9339977205057","20.5062962783534","21.3494117010642","22.0733874502781","22.8272911207422","","25.3","26.8","28.1","29.4160003662109","30.4","32.4210815429688","33.7455711364746","35.4544715881348","37.1068801879883","35.922679901123","39.3609809875488","40.6111907958984","41.8536682128906","42.5613784790039","43.7763481140137","45.1083183288574","46.1742515563965","47.4328689575195","50.2","52.9","53.5","54","55.2","61.7327776308577","",
"Barbados","BRB","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.2057304382324","","","","","","","","","","","","","","","","","","","","","","","","","",
"Brunei Darussalam","BRN","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","62.9979209899902","","","70.6451314714651","67.5941925048828","","67.798432665848","68.3763364360234","69.2162924505964","67.4217208868073","70.8407319388492","68.7706399814038","67.8724923905063","","",
"Bhutan","BTN","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.50574016571045","","","","","17.3154907226562","","","","","19.22580909729","","","",
"Botswana","BWA","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","1.28277003765106","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.2221913507966","","","16.4856527382353","","","","","","","","","","42.9777369383479","42.3264083862305","44.2292943215654","44.9155478130298","43.012279510498","","",
"Central African Republic","CAF","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","","","1.64069998264313","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.61245012283325","","","","","","",
